"player_id","first_name","last_name","sex"
"403","Jeff","Jorgenson","m"
"404","Johan","Josjö","m"
"405","Tim","Kady","m"
"406","Chieko","Kakimoto","m"
"407","Billy","Kaplan","m"
"408","Kurt","Karlsson","m"
"409","Peter","Karlsson","m"
"410","Roland","Karlsson","m"
"411","Stefan","Karlsson","m"
"412","Stefan","Karlström","m"
"413","Gunther","Kaufman","m"
"414","Volker","Kaufman","m"
"415","Zack","Kazin","m"
"416","Brad","Keller","m"
"417","David","Kelley","m"
"418","Nick","Kelly","m"
"419","Magnus","Kempe","m"
"420","Larry","Kenney","m"
"421","Paul","Kenny","M"
"422","Axel","Kensy","m"
"423","Jeff","Kent","m"
"424","David","Kessler","m"
"425","Ron","King","m"
"426","Gee","Kirkland","m"
"427","John","Kirkland","m"
"428","Markus","Kjällström","m"
"429","Paul","Klemer","m"
"430","Paul","Klimek","m"
"431","John","Knoch","m"
"432","Jeff","Knudsen","m"
"433","Tarja","Koivikko","m"
"434","Mark","Koivisto","m"
"435","Kenny","Kolstad","m"
"436","Doug","Korns","m"
"437","(Sonoma 95)","Koruf","m"
"438","Bob","Kramer","m"
"439","Shelly","Krasner","m"
"440","Jon","Kraut","m"
"441","Cindy","Kruger","f"
"442","Jeff","Kruger","M"
"443","Mark","Kudarauskas","m"
"444","Mike","Kukuk","m"
"445","Rodger","Kuo","m"
"446","Jörg","Kusch","m"
"447","Tim","Kusch","m"
"448","Matt","Lacourte","m"
"449","Christina","Ladera","m"
"450","Gene","LaForge","m"
"451","Randy","Lahm","m"
"452","Shawn","LaMastus","m"
"453","Kurt","Lampkin","m"
"454","Jeff","Landisman","m"
"455","Jeff","Lannom","m"
"456","Mike","LaPort","m"
"457","Judi","Lapsley","m"
"458","Ed","Larrabee","m"
"459","John","Larson","m"
"460","Tom","Lasher","m"
"461","Peter","Laubert","m"
"462","Murray","Lauder","m"
"463","Kevin","Lawler","m"
"464","Robert","Lawler","m"
"465","Jon","Layne","m"
"466","Mike","Layne","m"
"467","Rick","LeBeau","M"
"468","Dave","LeBleu","m"
"469","Mat","Lee","m"
"470","Tom","Leitner","M"
"471","Andrew","Lemann","M"
"472","Bob","Lewis","m"
"473","Dave","Lewis","M"
"474","Jeff","Lewis","m"
"475","Kristen","Lewis-Shell","m"
"476","Rick","Lewis-Shell","m"
"477","Johnny","Lighthizer","m"
"478","Carina","Lindblad","m"
"479","Mark","Linden","m"
"480","Larry","Lindgren","m"
"481","Christian","Loiseau","m"
"482","Carlos ""Pipo""","Lopez","M"
"483","Sami","Loukko","m"
"484","Robert","Lower","m"
